,source_id,clean_tmass_psc_xsc_oid,Unnamed: 0,angDist,col0,Star,n_Star,RAJ2000_1,DEJ2000_1,H20,e_H20,EW_CO_,e_EW_CO_,SpType1,SpType2,Simbad,RA_deg,DEC_deg,RAJ2000_2,DEJ2000_2,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD
18184660-1634566,4097421413399236224,236540131,25,0.046115,25,26,,18 18 46.60,-16 34 56.69,0.2,2.5,57.2,0.7,M3,---,Simbad,274.6941666666666,-16.58241388888889,274.69418,-16.582413,0.06,0.06,90,9.183,6.416,5.066,0.029,0.042,0.021,AAA,111,0,2451300.881
18191137-1531099,4098106134272809728,240537411,26,0.048577,26,27,,18 19 11.37,-15 31 09.96,12.0,10.4,58.9,4.8,M3.5,---,Simbad,274.797375,-15.519433333333334,274.797389,-15.519433,0.06,0.06,90,8.636,6.313,5.223,0.026,0.033,0.017,AAA,111,0,2451300.8817
18192723-1707592,4097321907596585216,234451054,27,0.010805,27,28,,18 19 27.24,-17 07 59.29,8.3,6.4,35.3,1.4,K3,M3.5,Simbad,274.8635,-17.13313611111111,274.863497,-17.133137,0.06,0.06,90,7.336,5.484,4.649,0.026,0.023,0.018,AAA,111,0,2451300.8886
18201613-1627415,4097800951074691712,236995020,28,0.010038,28,29,,18 20 16.13,-16 27 41.53,7.1,2.7,43.3,0.4,K5,M7,Simbad,275.06720833333327,-16.461536111111112,275.067211,-16.461535,0.06,0.06,90,7.7,5.781,4.839,0.023,0.026,0.021,AAA,111,0,2451300.9051
18202650-1346486,4152414312098105088,246936145,29,0.01534,29,30,,18 20 26.51,-13 46 48.69,4.6,7.1,42.6,0.8,K5,M7,Simbad,275.11045833333327,-13.780191666666669,275.110454,-13.780191,0.06,0.06,90,9.187,6.604,5.327,0.027,0.04,0.016,AAA,111,0,2451300.9031
18205466-1323415,4152640880212590848,248323927,30,0.051365,30,31,,18 20 54.67,-13 23 41.59,9.4,7.1,47.8,1.1,M0.5,M7,Simbad,275.2277916666666,-13.394886111111113,275.227777,-13.394886,0.06,0.06,90,8.231,6.02,4.917,0.03,0.021,0.018,AAA,111,0,2451300.9099
18210094-1428209,4146322910293664896,244416470,31,0.029183,31,32,,18 21 00.94,-14 28 20.90,2.9,12.1,51.6,1.2,M1.5,---,Simbad,275.25391666666667,-14.472472222222224,275.253925,-14.472473,0.06,0.06,90,7.256,5.442,4.597,0.021,0.034,0.015,AAA,111,0,2451300.9091
18210685-1503401,4098231787829136384,242245308,32,0.056831,32,33,,18 21 06.86,-15 03 40.20,3.2,0.6,48.6,1.0,M0.5,M7,Simbad,275.2785833333333,-15.061166666666669,275.278567,-15.061166,0.06,0.06,0,8.386,6.207,5.13,0.024,0.042,0.023,AAA,111,0,2451300.9087
18210846-1532090,4098062394323391232,240475347,33,0.01388,33,34,,18 21 08.46,-15 32 09.10,3.0,0.9,65.3,0.8,M5,---,Simbad,275.28525,-15.53586111111111,275.285254,-15.535861,0.06,0.06,90,8.403,6.093,4.935,0.024,0.033,0.021,AAA,111,0,2451300.9083
18212427-1355281,4152402492348020992,246412821,34,0.065348,34,35,,18 21 24.28,-13 55 28.16,3.6,1.4,48.8,0.3,M0.5,M7,Simbad,275.35116666666664,-13.924488888888888,275.351148,-13.92449,0.06,0.06,90,7.656,5.694,4.791,0.023,0.029,0.018,AAA,111,0,2451300.9129
