,Star,n_Star,RAJ2000,DEJ2000,H20,e_H20,EW_CO_,e_EW_CO_,SpType1,SpType2,Simbad,RA_deg,DEC_deg
47,48,,18 31 58.82,-11 19 21.37,6.5,1.5,46.4,0.8,M0,M7,Simbad,277.9950833333333,-11.322602777777778
48,49,,18 33 28.70,-09 12 09.19,11.2,1.1,58.3,0.4,M3,---,Simbad,278.3695833333333,-9.202552777777777
49,50,,18 33 44.45,-06 59 47.41,6.1,2.9,49.8,0.7,M1,M7,Simbad,278.4352083333333,-6.996502777777778
50,51,,18 34 04.71,-09 07 17.67,9.0,1.7,47.0,2.2,M0,M7,Simbad,278.51962499999996,-9.121575
51,52,,18 34 07.13,-09 05 53.58,12.8,0.8,53.5,1.0,M2,---,Simbad,278.5297083333333,-9.098216666666668
52,53,,18 35 13.47,-07 44 58.14,6.7,4.1,40.7,1.1,K4.5,M6,Simbad,278.80612499999995,-7.749483333333333
53,54,,18 35 29.03,-07 21 12.60,6.9,4.6,55.2,0.8,M2.5,---,Simbad,278.87095833333325,-7.3534999999999995
54,55,,18 35 34.76,-07 56 48.52,3.3,1.8,47.0,1.5,M0,M7,Simbad,278.8948333333333,-7.946811111111112
55,56,,18 35 49.12,-07 34 43.09,0.8,1.8,49.9,0.5,M1,M7,Simbad,278.95466666666664,-7.578636111111111
56,57,,18 35 51.52,-07 30 11.36,1.5,0.4,59.0,0.6,M3.5,---,Simbad,278.96466666666663,-7.503155555555556
57,58,,18 37 46.52,-07 12 24.60,6.0,2.4,51.7,0.5,M1.5,---,Simbad,279.4438333333333,-7.206833333333334
58,59,,18 41 34.82,-04 48 58.00,1.4,3.1,51.3,0.4,M1.5,---,Simbad,280.3950833333333,-4.816111111111111
59,60,,18 41 48.35,-04 48 52.91,1.7,3.1,52.2,0.6,M1.5,---,Simbad,280.4514583333333,-4.814697222222222
60,61,,18 42 17.11,-04 41 16.98,1.1,1.0,52.7,0.8,M1.5,---,Simbad,280.57129166666664,-4.6880500000000005
61,62,,18 42 42.31,-04 40 53.36,1.0,1.0,57.7,0.4,M3,---,Simbad,280.67629166666666,-4.6814888888888895
62,63,,18 42 44.80,-04 33 57.39,4.2,4.3,48.7,1.1,M0.5,M7,Simbad,280.6866666666666,-4.565941666666666
63,64,,18 42 52.23,-03 46 18.48,0.2,1.1,55.6,0.7,M2.5,---,Simbad,280.71762499999994,-3.7718
64,65,,18 43 08.01,-03 56 24.05,0.8,0.4,55.3,0.9,M2.5,---,Simbad,280.7833749999999,-3.940013888888889
65,66,a,18 44 26.16,-03 35 27.61,0.1,3.8,48.9,0.7,M0.5,M7,Simbad,281.109,-3.5910027777777778
66,67,,18 46 44.42,-03 24 04.96,0.7,1.3,61.5,0.6,M4,---,Simbad,281.68508333333324,-3.401377777777778
67,68,,18 46 44.80,-03 03 32.19,1.2,3.1,54.0,0.4,M2,---,Simbad,281.6866666666666,-3.0589416666666667
68,69,,18 47 53.58,-01 47 15.08,0.3,2.3,53.3,0.5,M2,---,Simbad,281.97325,-1.787522222222222
69,70,,18 48 29.97,-02 11 50.01,1.4,1.4,51.7,0.6,M1.5,---,Simbad,282.124875,-2.197225
70,71,,18 53 57.32,+01 41 27.11,5.9,2.8,42.2,0.6,K5,M6.5,Simbad,283.4888333333333,1.690863888888889
71,72,,18 54 34.44,+01 53 04.60,4.7,1.6,50.0,0.8,M1,---,Simbad,283.64349999999996,1.884611111111111
72,73,,18 55 42.14,+03 40 04.56,10.5,1.6,45.7,0.4,M0,M7,Simbad,283.9255833333333,3.667933333333333
73,74,,18 56 58.50,+01 34 52.05,1.1,2.2,50.4,0.5,M1,---,Simbad,284.24375,1.581125
74,75,,18 58 04.34,+02 15 41.31,3.5,4.8,48.5,0.5,M0.5,M7,Simbad,284.51808333333327,2.261475
75,76,,18 58 53.84,+05 00 36.87,7.1,2.3,36.0,1.7,K3.5,M3.5,Simbad,284.7243333333333,5.0102416666666665
76,77,,19 00 12.29,+03 12 25.93,1.2,1.4,49.9,0.8,M1,M7,Simbad,285.0512083333333,3.207202777777778
77,78,,19 00 18.13,+03 25 41.33,5.9,2.8,49.2,0.5,M0.5,M7,Simbad,285.0755416666666,3.428147222222222
78,79,,19 02 10.62,+06 24 27.06,5.8,2.5,44.8,0.9,K5.5,M7,Simbad,285.54425,6.407516666666667
79,80,,19 05 19.33,+06 00 12.65,6.5,1.6,44.0,0.3,K5.5,M7,Simbad,286.3305416666666,6.003513888888889
80,81,,19 05 20.11,+08 48 57.14,7.9,2.7,45.9,0.4,M0,M7,Simbad,286.3337916666666,8.815872222222223
81,82,,19 06 07.20,+07 23 54.59,10.1,1.7,40.9,1.4,K4.5,M6,Simbad,286.53,7.398497222222223
82,83,,19 06 09.34,+05 58 44.39,1.4,1.6,45.2,1.4,K5.5,M7,Simbad,286.53891666666664,5.9789972222222225
83,84,,19 10 25.67,+08 18 52.38,3.8,2.9,50.4,0.6,M1,---,Simbad,287.6069583333333,8.31455
84,85,,19 12 59.96,+09 48 01.52,5.1,1.6,77.3,1.5,M7,---,Simbad,288.2498333333333,9.800422222222222
85,86,,19 13 01.14,+10 01 59.73,-0.9,2.0,49.9,0.3,M1,M7,Simbad,288.25474999999994,10.033258333333334
86,87,,19 14 14.14,+10 28 02.55,4.6,1.0,55.8,0.6,M2.5,---,Simbad,288.5589166666667,10.467375
87,88,,19 14 32.39,+09 16 59.91,9.7,2.6,45.1,0.7,K5.5,M7,Simbad,288.6349583333333,9.283308333333334
88,89,,19 16 21.04,+09 39 04.38,2.9,1.0,48.4,0.7,M0.5,M7,Simbad,289.0876666666666,9.651216666666667
89,90,,19 18 56.86,+14 11 08.14,-1.0,1.3,46.2,0.3,M0,M7,Simbad,289.7369166666667,14.185594444444444
90,91,,19 21 44.57,+13 37 22.45,4.6,2.5,51.7,0.4,M1.5,---,Simbad,290.4357083333333,13.622902777777778
91,92,,19 29 11.66,+17 46 03.89,1.6,2.2,44.3,0.3,K5.5,M7,Simbad,292.2985833333333,17.767747222222223
92,93,,19 32 03.81,+18 01 43.38,2.0,2.2,50.5,0.6,M1,---,Simbad,293.015875,18.028716666666664
93,94,,19 41 53.19,+22 41 36.64,8.4,5.8,48.2,1.1,M0.5,M7,Simbad,295.47162499999996,22.69351111111111
