,angDist,col0,Star,n_Star,RAJ2000_1,DEJ2000_1,H20,e_H20,EW_CO_,e_EW_CO_,SpType1,SpType2,Simbad,RA_deg,DEC_deg,2MASS,RAJ2000_2,DEJ2000_2,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD
21,0.016305,21,22,,18 17 41.60,-13 56 28.05,0.4,2.5,46.5,1.5,M0,M7,Simbad,274.42333333333335,-13.941125,18174160-1356280,274.423338,-13.941125,0.06,0.06,90,7.785,5.708,4.722,0.027,0.049,0.016,AAA,111,0,2451300.8669
22,0.006084,22,23,,18 17 52.12,-17 15 08.51,1.6,0.5,54.3,0.7,M2,---,Simbad,274.4671666666666,-17.25236388888889,18175212-1715085,274.467168,-17.252365,0.06,0.06,90,10.441,7.331,5.712,0.023,0.055,0.024,AAA,211,0,2451300.8707
23,0.035691,23,24,,18 18 12.56,-16 29 13.26,-4.3,7.9,52.8,1.8,M1.5,---,Simbad,274.5523333333333,-16.48701666666667,18181255-1629132,274.552323,-16.487017,0.06,0.06,90,8.157,6.0,5.013,0.026,0.049,0.016,AAA,111,0,2451300.8713
24,0.011657,24,25,,18 18 44.53,-16 51 08.98,-1.2,1.9,46.8,0.9,M0,M7,Simbad,274.68554166666667,-16.852494444444446,18184453-1651089,274.685545,-16.852495,0.06,0.06,90,11.3,7.62,5.824,0.023,0.047,0.017,AAA,211,0,2451300.8787
25,0.046115,25,26,,18 18 46.60,-16 34 56.69,0.2,2.5,57.2,0.7,M3,---,Simbad,274.6941666666666,-16.58241388888889,18184660-1634566,274.69418,-16.582413,0.06,0.06,90,9.183,6.416,5.066,0.029,0.042,0.021,AAA,111,0,2451300.881
26,0.048577,26,27,,18 19 11.37,-15 31 09.96,12.0,10.4,58.9,4.8,M3.5,---,Simbad,274.79737499999993,-15.519433333333334,18191137-1531099,274.797389,-15.519433,0.06,0.06,90,8.636,6.313,5.223,0.026,0.033,0.017,AAA,111,0,2451300.8817
27,0.010805,27,28,,18 19 27.24,-17 07 59.29,8.3,6.4,35.3,1.4,K3,M3.5,Simbad,274.86349999999993,-17.13313611111111,18192723-1707592,274.863497,-17.133137,0.06,0.06,90,7.336,5.484,4.649,0.026,0.023,0.018,AAA,111,0,2451300.8886
28,0.010038,28,29,,18 20 16.13,-16 27 41.53,7.1,2.7,43.3,0.4,K5,M7,Simbad,275.06720833333327,-16.461536111111112,18201613-1627415,275.067211,-16.461535,0.06,0.06,90,7.7,5.781,4.839,0.023,0.026,0.021,AAA,111,0,2451300.9051
29,0.01534,29,30,,18 20 26.51,-13 46 48.69,4.6,7.1,42.6,0.8,K5,M7,Simbad,275.11045833333327,-13.780191666666667,18202650-1346486,275.110454,-13.780191,0.06,0.06,90,9.187,6.604,5.327,0.027,0.04,0.016,AAA,111,0,2451300.9031
30,0.051365,30,31,,18 20 54.67,-13 23 41.59,9.4,7.1,47.8,1.1,M0.5,M7,Simbad,275.2277916666666,-13.394886111111111,18205466-1323415,275.227777,-13.394886,0.06,0.06,90,8.231,6.02,4.917,0.03,0.021,0.018,AAA,111,0,2451300.9099
31,0.029183,31,32,,18 21 00.94,-14 28 20.90,2.9,12.1,51.6,1.2,M1.5,---,Simbad,275.25391666666667,-14.472472222222223,18210094-1428209,275.253925,-14.472473,0.06,0.06,90,7.256,5.442,4.597,0.021,0.034,0.015,AAA,111,0,2451300.9091
32,0.056831,32,33,,18 21 06.86,-15 03 40.20,3.2,0.6,48.6,1.0,M0.5,M7,Simbad,275.2785833333333,-15.061166666666667,18210685-1503401,275.278567,-15.061166,0.06,0.06,0,8.386,6.207,5.13,0.024,0.042,0.023,AAA,111,0,2451300.9087
33,0.01388,33,34,,18 21 08.46,-15 32 09.10,3.0,0.9,65.3,0.8,M5,---,Simbad,275.28524999999996,-15.53586111111111,18210846-1532090,275.285254,-15.535861,0.06,0.06,90,8.403,6.093,4.935,0.024,0.033,0.021,AAA,111,0,2451300.9083
34,0.065348,34,35,,18 21 24.28,-13 55 28.16,3.6,1.4,48.8,0.3,M0.5,M7,Simbad,275.35116666666664,-13.924488888888888,18212427-1355281,275.351148,-13.92449,0.06,0.06,90,7.656,5.694,4.791,0.023,0.029,0.018,AAA,111,0,2451300.9129
35,0.052772,35,36,,18 23 01.08,-12 25 53.83,6.4,8.7,44.5,1.0,K5.5,M7,Simbad,275.75449999999995,-12.431619444444443,18230108-1225538,275.754515,-12.43162,0.07,0.07,90,7.283,5.547,4.727,0.029,0.033,0.016,AAA,111,0,2451300.93
36,0.058254,36,37,,18 23 04.12,-13 54 16.05,1.4,1.8,54.2,0.5,M2,---,Simbad,275.76716666666664,-13.904458333333334,18230411-1354160,275.76715,-13.904458,0.06,0.06,90,7.781,5.669,4.703,0.029,0.026,0.02,AAA,111,0,2451300.9289
37,0.009316,37,38,,18 23 11.20,-13 57 58.05,1.7,1.5,49.3,0.3,M1,M7,Simbad,275.7966666666666,-13.966125,18231119-1357580,275.796664,-13.966125,0.06,0.06,90,7.943,5.684,4.685,0.032,0.031,0.023,AAA,111,0,2451300.9289
38,0.033272,38,39,,18 24 09.91,-11 01 21.55,-4.2,4.1,45.1,0.9,K5.5,M7,Simbad,276.0412916666666,-11.022652777777779,18240991-1101215,276.041301,-11.022654,0.06,0.06,90,7.011,5.365,4.65,0.034,0.026,0.021,AAA,111,0,2451295.881
39,0.036607,39,40,,18 25 11.21,-11 40 56.73,4.2,4.8,53.3,0.6,M2,---,Simbad,276.29670833333336,-11.682425,18251120-1140567,276.296698,-11.682426,0.1,0.08,0,7.061,5.365,4.576,0.021,0.023,0.017,AAA,111,0,2451729.7222
40,0.013138,40,41,,18 25 43.82,-11 53 36.90,1.7,3.0,46.1,2.4,M0,M7,Simbad,276.4325833333333,-11.893583333333332,18254382-1153369,276.432587,-11.893584,0.08,0.07,0,6.92,5.316,4.617,0.043,0.034,0.016,AAA,111,0,2451729.723
41,0.047757,41,42,,18 26 19.22,-14 06 48.76,-1.8,3.7,57.4,0.6,M3,---,Simbad,276.58008333333333,-14.113544444444445,18261922-1406487,276.580097,-14.113545,0.06,0.06,0,7.252,5.548,4.721,0.019,0.031,0.023,AAA,111,0,2451401.52
42,0.003639,42,43,,18 26 27.72,-09 35 18.97,-0.5,0.9,39.7,0.6,K4,M5.5,Simbad,276.61549999999994,-9.588602777777778,18262771-0935189,276.615499,-9.588603,0.07,0.06,0,6.196,4.915,4.352,0.019,0.016,0.053,AAA,111,0,2451729.7388
43,0.070477,43,44,,18 27 33.54,-11 49 27.02,-1.0,7.0,45.9,0.5,M0,M7,Simbad,276.88974999999994,-11.824172222222222,18273353-1149270,276.88973,-11.824172,0.06,0.06,90,7.007,5.38,4.653,0.02,0.029,0.017,AAA,111,0,2451729.7509
44,0.051737,44,45,,18 29 12.34,-12 19 40.85,-0.7,2.3,46.7,0.9,M0,M7,Simbad,277.3014166666666,-12.328013888888888,18291233-1219408,277.301402,-12.328015,0.07,0.06,90,7.588,5.702,4.85,0.02,0.027,0.016,AAA,111,0,2450936.8278
45,0.039252,45,46,,18 30 18.90,-10 20 00.36,3.8,4.4,47.0,1.2,M0,M7,Simbad,277.57874999999996,-10.333433333333334,18301889-1020003,277.578739,-10.333432,0.06,0.06,90,7.089,5.43,4.66,0.023,0.044,0.02,AAA,111,0,2451297.87
46,0.064819,46,47,,18 31 04.61,-10 54 26.04,5.6,1.4,49.8,0.6,M1,M7,Simbad,277.7692083333333,-10.907233333333334,18310460-1054260,277.76919,-10.907233,0.06,0.06,90,7.927,5.88,4.937,0.018,0.024,0.02,AAA,111,0,2451829.5081
47,0.050602,47,48,,18 31 58.82,-11 19 21.37,6.5,1.5,46.4,0.8,M0,M7,Simbad,277.9950833333333,-11.322602777777778,18315881-1119213,277.995069,-11.322603,0.06,0.06,90,7.468,5.61,4.691,0.032,0.034,0.026,AAA,111,0,2451297.8955
48,0.043918,48,49,,18 33 28.70,-09 12 09.19,11.2,1.1,58.3,0.4,M3,---,Simbad,278.3695833333333,-9.202552777777777,18332869-0912091,278.369571,-9.202552,0.07,0.06,0,8.092,6.028,4.977,0.02,0.026,0.016,AAA,111,0,2451297.912
49,0.011937,49,50,,18 33 44.45,-06 59 47.41,6.1,2.9,49.8,0.7,M1,M7,Simbad,278.4352083333333,-6.996502777777778,18334444-0659474,278.435205,-6.996503,0.07,0.06,0,7.238,5.465,4.661,0.026,0.031,0.018,AAA,111,0,2451297.9104
50,0.028663,50,51,,18 34 04.71,-09 07 17.67,9.0,1.7,47.0,2.2,M0,M7,Simbad,278.51962499999996,-9.121575,18340471-0907176,278.519633,-9.121574,0.06,0.06,90,8.548,6.237,5.124,0.026,0.036,0.018,AAA,111,0,2451297.9165
51,0.013089,51,52,,18 34 07.13,-09 05 53.58,12.8,0.8,53.5,1.0,M2,---,Simbad,278.5297083333333,-9.098216666666668,18340713-0905535,278.529712,-9.098217,0.06,0.06,90,8.527,6.297,5.153,0.026,0.04,0.02,AAA,111,0,2451297.9165
